location_id;model;epoch
Hachenburg_loc1;FasterRCNN_resnet50;16
Hachenburg_loc2;FasterRCNN_resnet50;26
Pfronstetten_loc1;FasterRCNN_resnet50;34
Pfronstetten_loc2;FasterRCNN_resnet50;27
Pfronstetten_loc3;FasterRCNN_resnet50;26
Haiterbach_loc1;FasterRCNN_resnet50;24
Hachenburg_loc1;Retinanet;96
Hachenburg_loc2;Retinanet;27
Pfronstetten_loc1;Retinanet;30
Pfronstetten_loc2;Retinanet;22
Pfronstetten_loc3;Retinanet;26
Haiterbach_loc1;Retinanet;107
Hachenburg_loc1;FasterRCNN_mobilenet;79
Hachenburg_loc2;FasterRCNN_mobilenet;34
Pfronstetten_loc1;FasterRCNN_mobilenet;30
Pfronstetten_loc2;FasterRCNN_mobilenet;22
Pfronstetten_loc3;FasterRCNN_mobilenet;38
Haiterbach_loc1;FasterRCNN_mobilenet;22
Hachenburg_loc1;SSD300;76
Hachenburg_loc2;SSD300;87
Pfronstetten_loc1;SSD300;56
Pfronstetten_loc2;SSD300;58
Pfronstetten_loc3;SSD300;77
Haiterbach_loc1;SSD300;57
